order_id,dataset_id,nama_dataset,periode,tanggal_pesanan,tanggal_diisi_dari_median,status_pesanan,alasan_pembatalan,kategori_produk,jumlah_kategori_produk,jumlah_barang,berat_total_gram,jumlah_return,diskon_total,metode_pembayaran,opsi_pengiriman,kota_kabupaten,provinsi,ongkir_dibayar_pembeli,potongan_ongkir,total_pembayaran,perkiraan_ongkir,tahun,bulan,tahun_bulan,kategori_umum,outlier_total_pembayaran,total_pembayaran_capped
ORD_0015664,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 19:46:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA JAKARTA BARAT,DKI JAKARTA,0.0,3500.0,17499.0,3500.0,2025,11,2025-11,Belanja,False,17499.0
ORD_0015665,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 20:18:00,False,Selesai,,Seal / Baut / Roof,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. KLATEN,JAWA TENGAH,0.0,5000.0,29500.0,5000.0,2025,11,2025-11,Belanja,False,29500.0
ORD_0015666,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 20:35:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,Online Payment,Hemat Kargo-SPX Hemat,KAB. GARUT,JAWA BARAT,0.0,3500.0,19400.0,3500.0,2025,11,2025-11,Belanja,False,19400.0
ORD_0015667,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 20:36:00,False,Selesai,,Aksesoris Pintu,1.0,2.0,360.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. BOGOR,JAWA BARAT,0.0,3500.0,19500.0,3500.0,2025,11,2025-11,Belanja,False,19500.0
ORD_0015668,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 21:19:00,False,Selesai,,Aksesoris Pintu,1.0,1.0,80.0,0.0,0.0,Online Payment,Hemat Kargo-SPX Hemat,KOTA CIMAHI,JAWA BARAT,0.0,3500.0,7488.0,3500.0,2025,11,2025-11,Belanja,False,7488.0
ORD_0015669,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 21:28:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,300.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA JAKARTA SELATAN,DKI JAKARTA,0.0,3500.0,17000.0,3500.0,2025,11,2025-11,Belanja,False,17000.0
ORD_0015670,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 21:47:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,300.0,0.0,1.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KOTA BANJARBARU,KALIMANTAN SELATAN,0.0,10000.0,16999.0,10000.0,2025,11,2025-11,Belanja,False,16999.0
ORD_0015671,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 22:14:00,False,Selesai,,Mangkok Sambal / Saus,1.0,1.0,200.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. PACITAN,JAWA TIMUR,0.0,5000.0,12499.0,5000.0,2025,11,2025-11,Belanja,False,12499.0
ORD_0015672,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 22:24:00,False,Selesai,,Mangkok Sambal / Saus,1.0,5.0,3000.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. KOTA BARU,KALIMANTAN SELATAN,0.0,10000.0,77496.0,10000.0,2025,11,2025-11,Belanja,False,77496.0
ORD_0015673,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 22:49:00,False,Selesai,,Celengan,1.0,1.0,500.0,0.0,0.0,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,KOTA BANDUNG,JAWA BARAT,0.0,6500.0,19000.0,6500.0,2025,11,2025-11,Belanja,False,19000.0
ORD_0015674,ecommerce_2025_11_november,November 2025,2025-11,2025-11-17 22:50:00,False,Selesai,,Mangkok Sambal / Saus,1.0,3.0,600.0,0.0,0.0,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,KAB. BIMA,NUSA TENGGARA BARAT (NTB),4500.0,30000.0,52997.0,34500.0,2025,11,2025-11,Belanja,False,52997.0
